model,accuracy,precision,recall,f1,roc_auc
random_forest,0.8499738630423419,0.8455882352941176,0.8518518518518519,0.8487084870848709,0.9312732301368665
xgboost,0.8468374281233665,0.8374741200828157,0.8560846560846561,0.8466771323914181,0.9324117801390528
svm,0.8374281233664401,0.8358050847457628,0.834920634920635,0.8353626257278983,0.9070537627355809
logistic_regression,0.8165185572399373,0.795816733067729,0.8455026455026455,0.8199076449461262,0.8884363111635839
